,participant_id,age,how_masculine,how_important
1299,1300,35 - 64,Very ,Not very 
1300,1301,35 - 64,Very ,Very 
1301,1302,35 - 64,Somewhat ,Not very 
1302,1303,35 - 64,Very ,Very 
1303,1304,65 and up,Not very ,Very 
1304,1305,35 - 64,Very ,Somewhat 
1305,1306,35 - 64,Very ,Very 
1306,1307,35 - 64,Somewhat ,Somewhat 
1307,1308,35 - 64,Somewhat ,Not very 
1308,1309,35 - 64,Very ,Somewhat 
1309,1310,35 - 64,Somewhat ,Somewhat 
1310,1311,35 - 64,Very ,Somewhat 
1311,1312,35 - 64,Somewhat ,Somewhat 
1312,1313,35 - 64,Very ,Very 
1313,1314,35 - 64,Very ,Somewhat 
1314,1315,35 - 64,Very ,Very 
1315,1316,18 - 34,Not very ,Somewhat 
1316,1317,18 - 34,Somewhat ,Not very 
1317,1318,35 - 64,Very ,Very 
1318,1319,35 - 64,Somewhat ,Not very 
1319,1320,35 - 64,Somewhat ,Somewhat 
1320,1321,35 - 64,Very ,Not at all 
1321,1322,35 - 64,Very ,Not very 
1322,1323,35 - 64,Very ,Not very 
1323,1324,65 and up,Very ,Not at all 
1324,1325,35 - 64,Somewhat ,Not very 
1325,1326,35 - 64,Not at all ,Not very 
1326,1327,35 - 64,Somewhat ,Not very 
1327,1328,35 - 64,Somewhat ,Somewhat 
1328,1329,35 - 64,Very ,Not at all 
1329,1330,35 - 64,Very ,Very 
1330,1331,35 - 64,Somewhat ,Not very 
1331,1332,18 - 34,Very ,Not very 
1332,1333,35 - 64,Somewhat ,Not very 
1333,1334,35 - 64,Somewhat ,Very 
1334,1335,35 - 64,Very ,Somewhat 
1335,1336,35 - 64,Very ,Not very 
1336,1337,35 - 64,Very ,Somewhat 
1337,1338,35 - 64,Somewhat ,Not very 
1338,1339,35 - 64,Very ,Somewhat 
1339,1340,35 - 64,Somewhat ,Somewhat 
1340,1341,18 - 34,Somewhat ,Not very 
1341,1342,35 - 64,Very ,Somewhat 
1342,1343,35 - 64,Somewhat ,Not very 
1343,1344,35 - 64,Somewhat ,Somewhat 
1344,1345,65 and up,Very ,Somewhat 
1345,1346,35 - 64,Somewhat ,Not very 
1346,1347,35 - 64,No answer,No answer
1347,1348,35 - 64,No answer,No answer
1348,1349,35 - 64,Somewhat ,Very 
1349,1350,65 and up,Very ,Somewhat 
1350,1351,35 - 64,Very ,Not at all 
1351,1352,35 - 64,Somewhat ,Somewhat 
1352,1353,35 - 64,Somewhat ,Not very 
1353,1354,18 - 34,Somewhat ,Not very 
1354,1355,18 - 34,Very ,Somewhat 
1355,1356,35 - 64,Somewhat ,Not very 
1356,1357,35 - 64,Somewhat ,Somewhat 
1357,1358,35 - 64,Somewhat ,Not at all 
1358,1359,35 - 64,Somewhat ,Not at all 
1359,1360,35 - 64,Somewhat ,Somewhat 
1360,1361,35 - 64,Very ,Somewhat 
1361,1362,35 - 64,Very ,Not at all 
1362,1363,35 - 64,Very ,Somewhat 
1363,1364,18 - 34,Not at all ,Not at all 
1364,1365,35 - 64,Very ,Not at all 
1365,1366,18 - 34,Somewhat ,Somewhat 
1366,1367,18 - 34,Somewhat ,Somewhat 
1367,1368,35 - 64,Very ,Not at all 
1368,1369,35 - 64,Somewhat ,Not very 
1369,1370,18 - 34,Very ,Not very 
1370,1371,18 - 34,Not very ,Not at all 
1371,1372,35 - 64,Very ,Not very 
1372,1373,35 - 64,Very ,Somewhat 
1373,1374,35 - 64,Very ,Not very 
1374,1375,35 - 64,Not at all ,Not at all 
1375,1376,35 - 64,Somewhat ,Not very 
1376,1377,35 - 64,Somewhat ,Not very 
1377,1378,35 - 64,Very ,Not at all 
1378,1379,35 - 64,Very ,Somewhat 
1379,1380,65 and up,Somewhat ,Not at all 
1380,1381,18 - 34,Somewhat ,Not very 
1381,1382,18 - 34,Somewhat ,Not at all 
1382,1383,35 - 64,Very ,Not very 
1383,1384,35 - 64,Somewhat ,Not very 
1384,1385,35 - 64,Not at all ,Not very 
1385,1386,35 - 64,Very ,Somewhat 
1386,1387,35 - 64,Very ,Somewhat 
1387,1388,65 and up,Very ,Very 
1388,1389,35 - 64,Very ,Very 
1389,1390,35 - 64,Very ,Not at all 
1390,1391,35 - 64,Very ,Not very 
1391,1392,35 - 64,Somewhat ,Somewhat 
1392,1393,35 - 64,Somewhat ,Not very 
1393,1394,35 - 64,Somewhat ,Somewhat 
1394,1395,18 - 34,Very ,Not very 
1395,1396,65 and up,Very ,Not very 
1396,1397,35 - 64,Very ,Very 
1397,1398,35 - 64,Somewhat ,Somewhat 
1398,1399,35 - 64,Not very ,Not at all 
1399,1400,35 - 64,Somewhat ,Somewhat 
1400,1401,35 - 64,Somewhat ,Somewhat 
1401,1402,35 - 64,Very ,Very 
1402,1403,35 - 64,Very ,Somewhat 
1403,1404,18 - 34,Somewhat ,Not very 
1404,1405,35 - 64,Very ,Somewhat 
1405,1406,35 - 64,Very ,Somewhat 
1406,1407,35 - 64,Very ,Not at all 
1407,1408,35 - 64,Somewhat ,Not very 
1408,1409,35 - 64,Very ,Somewhat 
1409,1410,65 and up,Not at all ,Not at all 
1410,1411,35 - 64,Somewhat ,Not very 
1411,1412,35 - 64,Somewhat ,Somewhat 
1412,1413,35 - 64,Somewhat ,Somewhat 
1413,1414,65 and up,Very ,Somewhat 
1414,1415,65 and up,Somewhat ,Somewhat 
1415,1416,35 - 64,Very ,Very 
1416,1417,35 - 64,Somewhat ,Somewhat 
1417,1418,65 and up,Somewhat ,Not at all 
1418,1419,35 - 64,Somewhat ,Not very 
1419,1420,35 - 64,Very ,Not very 
1420,1421,35 - 64,Somewhat ,Not very 
1421,1422,35 - 64,Somewhat ,Somewhat 
1422,1423,18 - 34,Somewhat ,Not very 
1423,1424,35 - 64,Somewhat ,Somewhat 
1424,1425,65 and up,Somewhat ,Not at all 
1425,1426,18 - 34,Somewhat ,Not very 
1426,1427,35 - 64,Somewhat ,Not very 
1427,1428,35 - 64,Very ,Not at all 
1428,1429,35 - 64,Very ,Very 
1429,1430,35 - 64,Very ,Somewhat 
1430,1431,65 and up,Somewhat ,Somewhat 
1431,1432,35 - 64,Very ,Very 
1432,1433,18 - 34,Very ,Very 
1433,1434,35 - 64,Very ,Very 
1434,1435,35 - 64,Not very ,Not very 
1435,1436,35 - 64,Somewhat ,Somewhat 
1436,1437,35 - 64,Very ,Very 
1437,1438,35 - 64,Not very ,Not very 
1438,1439,35 - 64,Somewhat ,Somewhat 
1439,1440,65 and up,Somewhat ,Not very 
1440,1441,35 - 64,Somewhat ,Not very 
1441,1442,35 - 64,Somewhat ,Not very 
1442,1443,35 - 64,Somewhat ,Not very 
1443,1444,35 - 64,Somewhat ,Somewhat 
1444,1445,18 - 34,Very ,Not very 
1445,1446,35 - 64,Somewhat ,Not very 
1446,1447,18 - 34,Not at all ,Not at all 
1447,1448,35 - 64,Very ,Not very 
1448,1449,65 and up,Somewhat ,Very 
1449,1450,35 - 64,Very ,Somewhat 
1450,1451,65 and up,Somewhat ,Somewhat 
1451,1452,35 - 64,Somewhat ,Somewhat 
1452,1453,35 - 64,Very ,Not very 
1453,1454,35 - 64,Somewhat ,Not very 
1454,1455,18 - 34,Very ,Somewhat 
1455,1456,35 - 64,Somewhat ,Somewhat 
1456,1457,18 - 34,Very ,Very 
1457,1458,35 - 64,Not very ,Somewhat 
1458,1459,35 - 64,Not very ,Not very 
1459,1460,35 - 64,Somewhat ,Not very 
1460,1461,35 - 64,Very ,Not at all 
1461,1462,18 - 34,Not very ,Somewhat 
1462,1463,18 - 34,Very ,Not very 
1463,1464,18 - 34,Somewhat ,Not at all 
1464,1465,35 - 64,Very ,Not very 
1465,1466,35 - 64,Very ,Somewhat 
1466,1467,18 - 34,Somewhat ,Not very 
1467,1468,35 - 64,Very ,Very 
1468,1469,35 - 64,Not very ,Not very 
1469,1470,35 - 64,Somewhat ,Somewhat 
1470,1471,35 - 64,Somewhat ,Not very 
1471,1472,35 - 64,Very ,Very 
1472,1473,65 and up,Very ,Not very 
1473,1474,65 and up,Very ,Somewhat 
1474,1475,35 - 64,Somewhat ,Somewhat 
1475,1476,35 - 64,Somewhat ,Somewhat 
1476,1477,35 - 64,Very ,Very 
1477,1478,18 - 34,Very ,Somewhat 
1478,1479,35 - 64,Somewhat ,Somewhat 
1479,1480,35 - 64,Somewhat ,Somewhat 
1480,1481,35 - 64,Somewhat ,Not very 
1481,1482,65 and up,Not at all ,Not at all 
1482,1483,35 - 64,Somewhat ,Not very 
1483,1484,35 - 64,Somewhat ,Very 
1484,1485,35 - 64,Not very ,Not at all 
1485,1486,35 - 64,Very ,Not very 
1486,1487,18 - 34,Somewhat ,Not at all 
1487,1488,18 - 34,Very ,Very 
1488,1489,35 - 64,Somewhat ,Not very 
1489,1490,35 - 64,Somewhat ,Somewhat 
1490,1491,35 - 64,Somewhat ,Somewhat 
1491,1492,35 - 64,Somewhat ,Somewhat 
1492,1493,18 - 34,Not very ,Somewhat 
1493,1494,35 - 64,Very ,Not very 
1494,1495,35 - 64,Very ,Not very 
1495,1496,35 - 64,Somewhat ,Not at all 
1496,1497,18 - 34,Not very ,Not at all 
1497,1498,35 - 64,Somewhat ,Somewhat 
1498,1499,35 - 64,Very ,Not very 
1499,1500,65 and up,Not very ,Not very 
1500,1501,35 - 64,Somewhat ,Somewhat 
1501,1502,35 - 64,Somewhat ,Somewhat 
1502,1503,35 - 64,Somewhat ,Not very 
1503,1504,35 - 64,Very ,Not very 
1504,1505,35 - 64,Somewhat ,Not at all 
1505,1506,35 - 64,Somewhat ,Somewhat 
1506,1507,35 - 64,Somewhat ,Not very 
1507,1508,35 - 64,Not very ,Not very 
1508,1509,65 and up,Not at all ,Not at all 
1509,1510,65 and up,Very ,Very 
1510,1511,65 and up,Not very ,Not very 
1511,1512,65 and up,Somewhat ,Very 
1512,1513,35 - 64,Somewhat ,Somewhat 
1513,1514,35 - 64,Very ,Very 
1514,1515,18 - 34,Somewhat ,Somewhat 
1515,1516,35 - 64,Somewhat ,Not very 
1516,1517,18 - 34,Very ,Somewhat 
1517,1518,35 - 64,Very ,Somewhat 
1518,1519,65 and up,Somewhat ,Somewhat 
1519,1520,35 - 64,Very ,Very 
1520,1521,35 - 64,Somewhat ,Very 
1521,1522,35 - 64,Very ,Very 
1522,1523,65 and up,Very ,Not very 
1523,1524,35 - 64,Somewhat ,Not very 
1524,1525,65 and up,Somewhat ,Somewhat 
1525,1526,65 and up,Not very ,Not very 
1526,1527,65 and up,Somewhat ,Somewhat 
1527,1528,35 - 64,Very ,Not very 
1528,1529,18 - 34,Very ,Very 
1529,1530,35 - 64,Very ,Not very 
1530,1531,35 - 64,Somewhat ,Not at all 
1531,1532,65 and up,Very ,Not very 
1532,1533,65 and up,Very ,Somewhat 
1533,1534,35 - 64,Somewhat ,Not very 
1534,1535,35 - 64,Not very ,No answer
1535,1536,35 - 64,Somewhat ,Not very 
1536,1537,18 - 34,Somewhat ,Not very 
1537,1538,35 - 64,Somewhat ,Somewhat 
1538,1539,65 and up,Very ,Very 
1539,1540,35 - 64,Somewhat ,Not very 
1540,1541,35 - 64,Somewhat ,Not very 
1541,1542,35 - 64,Somewhat ,Not very 
1542,1543,18 - 34,Somewhat ,Not at all 
1543,1544,65 and up,Very ,Not very 
1544,1545,35 - 64,Somewhat ,Not very 
1545,1546,65 and up,Somewhat ,Somewhat 
1546,1547,65 and up,Somewhat ,Not very 
1547,1548,35 - 64,Somewhat ,Not very 
1548,1549,65 and up,Somewhat ,Somewhat 
1549,1550,35 - 64,Somewhat ,Somewhat 
1550,1551,35 - 64,Very ,Somewhat 
1551,1552,65 and up,Very ,Somewhat 
1552,1553,65 and up,Somewhat ,Not very 
1553,1554,35 - 64,Very ,Somewhat 
1554,1555,35 - 64,Somewhat ,Very 
1555,1556,35 - 64,Somewhat ,Not very 
1556,1557,18 - 34,Somewhat ,Not very 
1557,1558,35 - 64,Very ,Somewhat 
1558,1559,35 - 64,Somewhat ,Not very 
1559,1560,18 - 34,Somewhat ,Somewhat 
1560,1561,35 - 64,Somewhat ,Not very 
1561,1562,35 - 64,Somewhat ,Somewhat 
1562,1563,35 - 64,Somewhat ,Not at all 
1563,1564,35 - 64,Somewhat ,Not very 
1564,1565,18 - 34,Somewhat ,Not at all 
1565,1566,18 - 34,Not very ,Not very 
1566,1567,35 - 64,Somewhat ,Somewhat 
1567,1568,18 - 34,Somewhat ,Not very 
1568,1569,18 - 34,Very ,Somewhat 
1569,1570,35 - 64,Somewhat ,Somewhat 
1570,1571,35 - 64,Somewhat ,Not very 
1571,1572,18 - 34,Not at all ,Somewhat 
1572,1573,35 - 64,Very ,Somewhat 
1573,1574,35 - 64,Somewhat ,Somewhat 
1574,1575,35 - 64,Very ,Not at all 
1575,1576,35 - 64,Very ,Very 
1576,1577,35 - 64,Very ,Somewhat 
1577,1578,35 - 64,Somewhat ,Not very 
1578,1579,35 - 64,Not very ,Very 
1579,1580,35 - 64,Somewhat ,Somewhat 
1580,1581,35 - 64,Not very ,Not very 
1581,1582,35 - 64,Very ,Somewhat 
1582,1583,35 - 64,Very ,Not very 
1583,1584,35 - 64,Very ,Not at all 
1584,1585,18 - 34,Not at all ,Not at all 
1585,1586,18 - 34,Not very ,Not very 
1586,1587,35 - 64,Very ,Not at all 
1587,1588,35 - 64,Somewhat ,Somewhat 
1588,1589,35 - 64,Somewhat ,Somewhat 
1589,1590,35 - 64,Very ,Not at all 
1590,1591,35 - 64,Not very ,Not very 
1591,1592,18 - 34,Very ,Very 
1592,1593,35 - 64,Somewhat ,Somewhat 
1593,1594,18 - 34,Very ,Very 
1594,1595,35 - 64,Somewhat ,Not very 
1595,1596,18 - 34,Somewhat ,Somewhat 
1596,1597,18 - 34,Somewhat ,Somewhat 
1597,1598,18 - 34,Somewhat ,Not very 
1598,1599,35 - 64,Very ,Somewhat 
1599,1600,35 - 64,Somewhat ,Somewhat 
1600,1601,35 - 64,Somewhat ,Not very 
1601,1602,35 - 64,Very ,Very 
1602,1603,18 - 34,Somewhat ,Somewhat 
1603,1604,35 - 64,Very ,Not very 
1604,1605,35 - 64,Somewhat ,Somewhat 
1605,1606,18 - 34,Very ,Very 
1606,1607,18 - 34,Very ,Not at all 
1607,1608,65 and up,Very ,Somewhat 
1608,1609,35 - 64,Not very ,Not very 
1609,1610,35 - 64,Very ,Not at all 
1610,1611,18 - 34,Not very ,Not at all 
1611,1612,35 - 64,Very ,Very 
1612,1613,35 - 64,Somewhat ,Somewhat 
1613,1614,18 - 34,Somewhat ,Somewhat 
1614,1615,18 - 34,Very ,Not at all 
